condition_id,injection_id,quantity,value,unit,value_role,measured_at,measurement_basis,source_channel
condition-00000,dead-time-000,column_temperature,303.15,K,measured,2026-01-20T09:00:00-05:00,direct,
condition-00001,dead-time-000,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:00:00-05:00,direct,flow-channel-1
condition-00002,dead-time-000,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:00:00-05:00,direct,
condition-00003,dead-time-000,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:00:00-05:00,direct,
condition-00004,dead-time-000,pressure_drop,0.0,Pa,measured,2026-01-20T09:00:00-05:00,direct,
condition-00005,probe-injection-001,column_temperature,303.15,K,measured,2026-01-20T09:05:00-05:00,direct,
condition-00006,probe-injection-001,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:05:00-05:00,direct,flow-channel-1
condition-00007,probe-injection-001,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:05:00-05:00,direct,
condition-00008,probe-injection-001,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:05:00-05:00,direct,
condition-00009,probe-injection-001,pressure_drop,0.0,Pa,measured,2026-01-20T09:05:00-05:00,direct,
condition-00010,probe-injection-002,column_temperature,303.15,K,measured,2026-01-20T09:10:00-05:00,direct,
condition-00011,probe-injection-002,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:10:00-05:00,direct,flow-channel-1
condition-00012,probe-injection-002,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:10:00-05:00,direct,
condition-00013,probe-injection-002,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:10:00-05:00,direct,
condition-00014,probe-injection-002,pressure_drop,0.0,Pa,measured,2026-01-20T09:10:00-05:00,direct,
condition-00015,probe-injection-003,column_temperature,303.15,K,measured,2026-01-20T09:15:00-05:00,direct,
condition-00016,probe-injection-003,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:15:00-05:00,direct,flow-channel-1
condition-00017,probe-injection-003,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:15:00-05:00,direct,
condition-00018,probe-injection-003,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:15:00-05:00,direct,
condition-00019,probe-injection-003,pressure_drop,0.0,Pa,measured,2026-01-20T09:15:00-05:00,direct,
condition-00020,probe-injection-004,column_temperature,303.15,K,measured,2026-01-20T09:20:00-05:00,direct,
condition-00021,probe-injection-004,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:20:00-05:00,direct,flow-channel-1
condition-00022,probe-injection-004,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:20:00-05:00,direct,
condition-00023,probe-injection-004,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:20:00-05:00,direct,
condition-00024,probe-injection-004,pressure_drop,0.0,Pa,measured,2026-01-20T09:20:00-05:00,direct,
condition-00025,probe-injection-005,column_temperature,303.15,K,measured,2026-01-20T09:25:00-05:00,direct,
condition-00026,probe-injection-005,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:25:00-05:00,direct,flow-channel-1
condition-00027,probe-injection-005,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:25:00-05:00,direct,
condition-00028,probe-injection-005,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:25:00-05:00,direct,
condition-00029,probe-injection-005,pressure_drop,0.0,Pa,measured,2026-01-20T09:25:00-05:00,direct,
condition-00030,probe-injection-006,column_temperature,303.15,K,measured,2026-01-20T09:30:00-05:00,direct,
condition-00031,probe-injection-006,flow_column,1.85e-07,m3_s,measured,2026-01-20T09:30:00-05:00,direct,flow-channel-1
condition-00032,probe-injection-006,pressure_inlet,101325.0,Pa,measured,2026-01-20T09:30:00-05:00,direct,
condition-00033,probe-injection-006,pressure_outlet,101325.0,Pa,measured,2026-01-20T09:30:00-05:00,direct,
