injection_id,point_index,time_s,detector_channel,signal_raw,signal_unit,signal_corrected,preprocessing_method,preprocessing_version
dead-time-000,0,0.000000,detector-primary,1.91935017448e-154,arbitrary_unit,,,
dead-time-000,1,0.120000,detector-primary,6.65965879751e-153,arbitrary_unit,,,
dead-time-000,2,0.240000,detector-primary,2.27001616936e-151,arbitrary_unit,,,
dead-time-000,3,0.360000,detector-primary,7.60125201585e-150,arbitrary_unit,,,
dead-time-000,4,0.480000,detector-primary,2.50046351327e-148,arbitrary_unit,,,
dead-time-000,5,0.600000,detector-primary,8.0804420691e-147,arbitrary_unit,,,
dead-time-000,6,0.720000,detector-primary,2.56524547128e-145,arbitrary_unit,,,
dead-time-000,7,0.840000,detector-primary,8.00022032043e-144,arbitrary_unit,,,
dead-time-000,8,0.960000,detector-primary,2.45106130773e-142,arbitrary_unit,,,
dead-time-000,9,1.080000,detector-primary,7.37709897888e-141,arbitrary_unit,,,
dead-time-000,10,1.200000,detector-primary,2.18120385123e-139,arbitrary_unit,,,
dead-time-000,11,1.320000,detector-primary,6.33557607939e-138,arbitrary_unit,,,
dead-time-000,12,1.440000,detector-primary,1.80781994801e-136,arbitrary_unit,,,
dead-time-000,13,1.560000,detector-primary,5.06761306596e-135,arbitrary_unit,,,
dead-time-000,14,1.680000,detector-primary,1.39550349803e-133,arbitrary_unit,,,
dead-time-000,15,1.800000,detector-primary,3.77517962906e-132,arbitrary_unit,,,
dead-time-000,16,1.920000,detector-primary,1.00328315723e-130,arbitrary_unit,,,
dead-time-000,17,2.040000,detector-primary,2.61932043629e-129,arbitrary_unit,,,
dead-time-000,18,2.160000,detector-primary,6.71789096053e-128,arbitrary_unit,,,
dead-time-000,19,2.280000,detector-primary,1.69260834884e-126,arbitrary_unit,,,
dead-time-000,20,2.400000,detector-primary,4.18947126691e-125,arbitrary_unit,,,
dead-time-000,21,2.520000,detector-primary,1.01868793581e-123,arbitrary_unit,,,
dead-time-000,22,2.640000,detector-primary,2.43333733049e-122,arbitrary_unit,,,
dead-time-000,23,2.760000,detector-primary,5.71008645602e-121,arbitrary_unit,,,
dead-time-000,24,2.880000,detector-primary,1.31632235893e-119,arbitrary_unit,,,
dead-time-000,25,3.000000,detector-primary,2.98099358732e-118,arbitrary_unit,,,
dead-time-000,26,3.120000,detector-primary,6.63191627089e-117,arbitrary_unit,,,
dead-time-000,27,3.240000,detector-primary,1.4494266308e-115,arbitrary_unit,,,
dead-time-000,28,3.360000,detector-primary,3.11195026613e-114,arbitrary_unit,,,
dead-time-000,29,3.480000,detector-primary,6.56369312398e-113,arbitrary_unit,,,
dead-time-000,30,3.600000,detector-primary,1.36001311881e-111,arbitrary_unit,,,
dead-time-000,31,3.720000,detector-primary,2.76832539328e-110,arbitrary_unit,,,
dead-time-000,32,3.840000,detector-primary,5.53567244717e-109,arbitrary_unit,,,
dead-time-000,33,3.960000,detector-primary,1.08743383481e-107,arbitrary_unit,,,
dead-time-000,34,4.080000,detector-primary,2.09852674301e-106,arbitrary_unit,,,
dead-time-000,35,4.200000,detector-primary,3.97837194598e-105,arbitrary_unit,,,
dead-time-000,36,4.320000,detector-primary,7.40927081001e-104,arbitrary_unit,,,
dead-time-000,37,4.440000,detector-primary,1.35557878257e-102,arbitrary_unit,,,
dead-time-000,38,4.560000,detector-primary,2.43642622763e-101,arbitrary_unit,,,
dead-time-000,39,4.680000,detector-primary,4.30190661365e-100,arbitrary_unit,,,
dead-time-000,40,4.800000,detector-primary,7.46187380738e-99,arbitrary_unit,,,
dead-time-000,41,4.920000,detector-primary,1.27149316822e-97,arbitrary_unit,,,
dead-time-000,42,5.040000,detector-primary,2.12842999767e-96,arbitrary_unit,,,
dead-time-000,43,5.160000,detector-primary,3.50012794887e-95,arbitrary_unit,,,
dead-time-000,44,5.280000,detector-primary,5.65441498831e-94,arbitrary_unit,,,
dead-time-000,45,5.400000,detector-primary,8.97368140865e-93,arbitrary_unit,,,
dead-time-000,46,5.520000,detector-primary,1.3990486725e-91,arbitrary_unit,,,
dead-time-000,47,5.640000,detector-primary,2.14276335173e-90,arbitrary_unit,,,
dead-time-000,48,5.760000,detector-primary,3.2239983086e-89,arbitrary_unit,,,
