condition_id,injection_id,quantity,value,unit,value_role,measured_at,measurement_basis,source_channel
condition-00000,dead-time-000,column_temperature,303.15,K,measured,2026-01-21T09:00:00-05:00,direct,
condition-00001,dead-time-000,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:00:00-05:00,direct,flow-channel-synthetic
condition-00002,dead-time-000,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:00:00-05:00,direct,
condition-00003,dead-time-000,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:00:00-05:00,direct,
condition-00004,dead-time-000,pressure_drop,3675.0,Pa,measured,2026-01-21T09:00:00-05:00,direct,
condition-00005,injection-08-001,column_temperature,303.15,K,measured,2026-01-21T09:04:00-05:00,direct,
condition-00006,injection-08-001,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:04:00-05:00,direct,flow-channel-synthetic
condition-00007,injection-08-001,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:04:00-05:00,direct,
condition-00008,injection-08-001,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:04:00-05:00,direct,
condition-00009,injection-08-001,pressure_drop,3675.0,Pa,measured,2026-01-21T09:04:00-05:00,direct,
condition-00010,injection-08-002,column_temperature,303.15,K,measured,2026-01-21T09:08:00-05:00,direct,
condition-00011,injection-08-002,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:08:00-05:00,direct,flow-channel-synthetic
condition-00012,injection-08-002,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:08:00-05:00,direct,
condition-00013,injection-08-002,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:08:00-05:00,direct,
condition-00014,injection-08-002,pressure_drop,3675.0,Pa,measured,2026-01-21T09:08:00-05:00,direct,
condition-00015,injection-08-003,column_temperature,303.15,K,measured,2026-01-21T09:12:00-05:00,direct,
condition-00016,injection-08-003,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:12:00-05:00,direct,flow-channel-synthetic
condition-00017,injection-08-003,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:12:00-05:00,direct,
condition-00018,injection-08-003,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:12:00-05:00,direct,
condition-00019,injection-08-003,pressure_drop,3675.0,Pa,measured,2026-01-21T09:12:00-05:00,direct,
condition-00020,injection-08-004,column_temperature,303.15,K,measured,2026-01-21T09:16:00-05:00,direct,
condition-00021,injection-08-004,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:16:00-05:00,direct,flow-channel-synthetic
condition-00022,injection-08-004,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:16:00-05:00,direct,
condition-00023,injection-08-004,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:16:00-05:00,direct,
condition-00024,injection-08-004,pressure_drop,3675.0,Pa,measured,2026-01-21T09:16:00-05:00,direct,
condition-00025,injection-09-005,column_temperature,303.15,K,measured,2026-01-21T09:20:00-05:00,direct,
condition-00026,injection-09-005,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:20:00-05:00,direct,flow-channel-synthetic
condition-00027,injection-09-005,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:20:00-05:00,direct,
condition-00028,injection-09-005,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:20:00-05:00,direct,
condition-00029,injection-09-005,pressure_drop,3675.0,Pa,measured,2026-01-21T09:20:00-05:00,direct,
condition-00030,injection-09-006,column_temperature,303.15,K,measured,2026-01-21T09:24:00-05:00,direct,
condition-00031,injection-09-006,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:24:00-05:00,direct,flow-channel-synthetic
condition-00032,injection-09-006,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:24:00-05:00,direct,
condition-00033,injection-09-006,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:24:00-05:00,direct,
condition-00034,injection-09-006,pressure_drop,3675.0,Pa,measured,2026-01-21T09:24:00-05:00,direct,
condition-00035,injection-09-007,column_temperature,303.15,K,measured,2026-01-21T09:28:00-05:00,direct,
condition-00036,injection-09-007,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:28:00-05:00,direct,flow-channel-synthetic
condition-00037,injection-09-007,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:28:00-05:00,direct,
condition-00038,injection-09-007,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:28:00-05:00,direct,
condition-00039,injection-09-007,pressure_drop,3675.0,Pa,measured,2026-01-21T09:28:00-05:00,direct,
condition-00040,injection-09-008,column_temperature,303.15,K,measured,2026-01-21T09:32:00-05:00,direct,
condition-00041,injection-09-008,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:32:00-05:00,direct,flow-channel-synthetic
condition-00042,injection-09-008,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:32:00-05:00,direct,
condition-00043,injection-09-008,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:32:00-05:00,direct,
condition-00044,injection-09-008,pressure_drop,3675.0,Pa,measured,2026-01-21T09:32:00-05:00,direct,
condition-00045,injection-10-009,column_temperature,303.15,K,measured,2026-01-21T09:36:00-05:00,direct,
condition-00046,injection-10-009,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:36:00-05:00,direct,flow-channel-synthetic
condition-00047,injection-10-009,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:36:00-05:00,direct,
condition-00048,injection-10-009,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:36:00-05:00,direct,
condition-00049,injection-10-009,pressure_drop,3675.0,Pa,measured,2026-01-21T09:36:00-05:00,direct,
condition-00050,injection-10-010,column_temperature,303.15,K,measured,2026-01-21T09:40:00-05:00,direct,
condition-00051,injection-10-010,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:40:00-05:00,direct,flow-channel-synthetic
condition-00052,injection-10-010,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:40:00-05:00,direct,
condition-00053,injection-10-010,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:40:00-05:00,direct,
condition-00054,injection-10-010,pressure_drop,3675.0,Pa,measured,2026-01-21T09:40:00-05:00,direct,
condition-00055,injection-10-011,column_temperature,303.15,K,measured,2026-01-21T09:44:00-05:00,direct,
condition-00056,injection-10-011,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:44:00-05:00,direct,flow-channel-synthetic
condition-00057,injection-10-011,pressure_inlet,105000.0,Pa,measured,2026-01-21T09:44:00-05:00,direct,
condition-00058,injection-10-011,pressure_outlet,101325.0,Pa,measured,2026-01-21T09:44:00-05:00,direct,
condition-00059,injection-10-011,pressure_drop,3675.0,Pa,measured,2026-01-21T09:44:00-05:00,direct,
condition-00060,injection-10-012,column_temperature,303.15,K,measured,2026-01-21T09:48:00-05:00,direct,
condition-00061,injection-10-012,flow_column,1.66666666666667e-07,m3_s,measured,2026-01-21T09:48:00-05:00,direct,flow-channel-synthetic
