injection_id,point_index,time_s,detector_channel,signal_raw,signal_unit,signal_corrected,preprocessing_method,preprocessing_version
injection-000,0,0,detector-primary,0.10,arbitrary_unit,,,
injection-000,1,5,detector-primary,0.10,arbitrary_unit,,,
injection-000,2,10,detector-primary,0.12,arbitrary_unit,,,
injection-000,3,15,detector-primary,0.80,arbitrary_unit,,,
injection-000,4,20,detector-primary,6.00,arbitrary_unit,,,
injection-000,5,25,detector-primary,0.90,arbitrary_unit,,,
injection-000,6,30,detector-primary,0.14,arbitrary_unit,,,
injection-000,7,35,detector-primary,0.11,arbitrary_unit,,,
injection-000,8,40,detector-primary,0.10,arbitrary_unit,,,
injection-000,9,45,detector-primary,0.10,arbitrary_unit,,,
injection-000,10,50,detector-primary,0.10,arbitrary_unit,,,
injection-000,11,55,detector-primary,0.10,arbitrary_unit,,,
injection-000,12,60,detector-primary,0.10,arbitrary_unit,,,
injection-000,13,65,detector-primary,0.10,arbitrary_unit,,,
injection-000,14,70,detector-primary,0.10,arbitrary_unit,,,
injection-001,0,0,detector-primary,0.10,arbitrary_unit,,,
injection-001,1,5,detector-primary,0.10,arbitrary_unit,,,
injection-001,2,10,detector-primary,0.11,arbitrary_unit,,,
injection-001,3,15,detector-primary,0.15,arbitrary_unit,,,
injection-001,4,20,detector-primary,0.60,arbitrary_unit,,,
injection-001,5,25,detector-primary,2.50,arbitrary_unit,,,
injection-001,6,30,detector-primary,8.00,arbitrary_unit,,,
injection-001,7,35,detector-primary,5.80,arbitrary_unit,,,
injection-001,8,40,detector-primary,3.40,arbitrary_unit,,,
injection-001,9,45,detector-primary,1.90,arbitrary_unit,,,
injection-001,10,50,detector-primary,0.95,arbitrary_unit,,,
injection-001,11,55,detector-primary,0.45,arbitrary_unit,,,
injection-001,12,60,detector-primary,0.22,arbitrary_unit,,,
injection-001,13,65,detector-primary,0.13,arbitrary_unit,,,
injection-001,14,70,detector-primary,0.10,arbitrary_unit,,,
injection-002,0,0,detector-primary,0.10,arbitrary_unit,,,
injection-002,1,5,detector-primary,0.10,arbitrary_unit,,,
injection-002,2,10,detector-primary,0.11,arbitrary_unit,,,
injection-002,3,15,detector-primary,0.14,arbitrary_unit,,,
injection-002,4,20,detector-primary,0.45,arbitrary_unit,,,
injection-002,5,25,detector-primary,1.80,arbitrary_unit,,,
injection-002,6,30,detector-primary,6.00,arbitrary_unit,,,
injection-002,7,35,detector-primary,9.00,arbitrary_unit,,,
injection-002,8,40,detector-primary,7.20,arbitrary_unit,,,
injection-002,9,45,detector-primary,5.10,arbitrary_unit,,,
injection-002,10,50,detector-primary,3.40,arbitrary_unit,,,
injection-002,11,55,detector-primary,2.00,arbitrary_unit,,,
injection-002,12,60,detector-primary,0.95,arbitrary_unit,,,
injection-002,13,65,detector-primary,0.35,arbitrary_unit,,,
injection-002,14,70,detector-primary,0.14,arbitrary_unit,,,
injection-003,0,0,detector-primary,0.10,arbitrary_unit,,,
injection-003,1,5,detector-primary,0.10,arbitrary_unit,,,
injection-003,2,10,detector-primary,0.11,arbitrary_unit,,,
injection-003,3,15,detector-primary,0.30,arbitrary_unit,,,
injection-003,4,20,detector-primary,2.20,arbitrary_unit,,,
injection-003,5,25,detector-primary,6.20,arbitrary_unit,,,
injection-003,6,30,detector-primary,1.10,arbitrary_unit,,,
injection-003,7,35,detector-primary,0.18,arbitrary_unit,,,
injection-003,8,40,detector-primary,0.11,arbitrary_unit,,,
injection-003,9,45,detector-primary,0.10,arbitrary_unit,,,
injection-003,10,50,detector-primary,0.10,arbitrary_unit,,,
injection-003,11,55,detector-primary,0.10,arbitrary_unit,,,
injection-003,12,60,detector-primary,0.10,arbitrary_unit,,,
injection-003,13,65,detector-primary,0.10,arbitrary_unit,,,
injection-003,14,70,detector-primary,0.10,arbitrary_unit,,,
