condition_id,injection_id,quantity,value,unit,value_role,measured_at,measurement_basis,source_channel
condition-0000,injection-000,column_temperature,303.15,K,target,,declared_target,
condition-0001,injection-000,column_temperature,303.10,K,measured,2026-01-15T09:04:00-05:00,direct,
condition-0002,injection-000,flow_standard,1.67e-7,m3_s,measured,2026-01-15T09:04:00-05:00,direct,flow-channel-1
condition-0003,injection-000,pressure_drop,3500,Pa,measured,2026-01-15T09:04:00-05:00,direct,
condition-0006,injection-000,pressure_inlet,104825,Pa,measured,2026-01-15T09:04:00-05:00,direct,
condition-0007,injection-000,pressure_outlet,101325,Pa,measured,2026-01-15T09:04:00-05:00,direct,
condition-0004,injection-000,relative_humidity,0.20,fraction,target,,declared_target,
condition-0005,injection-000,relative_humidity,0.21,fraction,measured,2026-01-15T09:04:00-05:00,direct,
condition-0010,injection-001,column_temperature,303.15,K,target,,declared_target,
condition-0011,injection-001,column_temperature,303.14,K,measured,2026-01-15T09:09:00-05:00,direct,
condition-0012,injection-001,flow_standard,1.67e-7,m3_s,measured,2026-01-15T09:09:00-05:00,direct,flow-channel-1
condition-0013,injection-001,pressure_drop,3520,Pa,measured,2026-01-15T09:09:00-05:00,direct,
condition-0016,injection-001,pressure_inlet,104845,Pa,measured,2026-01-15T09:09:00-05:00,direct,
condition-0017,injection-001,pressure_outlet,101325,Pa,measured,2026-01-15T09:09:00-05:00,direct,
condition-0014,injection-001,relative_humidity,0.20,fraction,target,,declared_target,
condition-0015,injection-001,relative_humidity,0.20,fraction,measured,2026-01-15T09:09:00-05:00,direct,
condition-0020,injection-002,column_temperature,303.15,K,target,,declared_target,
condition-0021,injection-002,column_temperature,303.18,K,measured,2026-01-15T09:14:00-05:00,direct,
condition-0022,injection-002,flow_standard,1.68e-7,m3_s,measured,2026-01-15T09:14:00-05:00,direct,flow-channel-1
condition-0023,injection-002,pressure_drop,3540,Pa,measured,2026-01-15T09:14:00-05:00,direct,
condition-0026,injection-002,pressure_inlet,104865,Pa,measured,2026-01-15T09:14:00-05:00,direct,
condition-0027,injection-002,pressure_outlet,101325,Pa,measured,2026-01-15T09:14:00-05:00,direct,
condition-0024,injection-002,relative_humidity,0.20,fraction,target,,declared_target,
condition-0025,injection-002,relative_humidity,0.22,fraction,measured,2026-01-15T09:14:00-05:00,direct,
condition-0030,injection-003,column_temperature,303.15,K,target,,declared_target,
condition-0031,injection-003,column_temperature,303.16,K,measured,2026-01-15T09:19:00-05:00,direct,
condition-0032,injection-003,flow_standard,1.67e-7,m3_s,measured,2026-01-15T09:19:00-05:00,direct,flow-channel-1
condition-0033,injection-003,pressure_drop,3550,Pa,measured,2026-01-15T09:19:00-05:00,direct,
condition-0036,injection-003,pressure_inlet,104875,Pa,measured,2026-01-15T09:19:00-05:00,direct,
condition-0037,injection-003,pressure_outlet,101325,Pa,measured,2026-01-15T09:19:00-05:00,direct,
condition-0034,injection-003,relative_humidity,0.20,fraction,target,,declared_target,
condition-0035,injection-003,relative_humidity,0.21,fraction,measured,2026-01-15T09:19:00-05:00,direct,
